port_id,event_type,severity,date
1,cyclone,0.70,2021-06-04 00:00:00
1,strike,0.50,2022-03-15 00:00:00
1,equipment_failure,0.30,2023-01-20 00:00:00
2,cyclone,0.60,2021-11-14 00:00:00
2,berth_blockage,0.40,2022-07-08 00:00:00
3,cyclone,0.90,2021-11-26 00:00:00
3,strike,0.60,2022-08-15 00:00:00
3,flood,0.70,2023-10-05 00:00:00
4,cyclone,0.80,2021-05-27 00:00:00
4,flood,0.60,2022-06-18 00:00:00
4,fog,0.25,2023-01-10 00:00:00
5,cyclone,0.70,2021-05-27 00:00:00
5,flood,0.55,2022-06-18 00:00:00
6,cyclone,0.65,2021-11-14 00:00:00
6,strike,0.40,2022-09-01 00:00:00
7,flood,0.45,2021-08-10 00:00:00
7,berth_blockage,0.30,2022-05-22 00:00:00
8,cyclone,0.80,2021-06-14 00:00:00
8,flood,0.50,2022-07-12 00:00:00
9,cyclone,0.75,2021-05-27 00:00:00
9,flood,0.65,2022-06-18 00:00:00
10,strike,0.45,2022-04-18 00:00:00
10,flood,0.55,2022-10-20 00:00:00
11,berth_blockage,0.30,2022-03-08 00:00:00
11,equipment_failure,0.20,2023-02-14 00:00:00
12,berth_blockage,0.30,2022-06-11 00:00:00
12,strike,0.40,2023-01-05 00:00:00
13,strike,0.80,2021-09-12 00:00:00
13,cyclone,0.55,2022-11-04 00:00:00
14,equipment_failure,0.40,2021-03-22 00:00:00
14,cyclone,0.60,2021-06-14 00:00:00
15,cyclone,0.50,2021-06-14 00:00:00
15,berth_blockage,0.30,2022-04-03 00:00:00
16,equipment_failure,0.30,2021-09-09 00:00:00
16,berth_blockage,0.25,2022-11-17 00:00:00
17,cyclone,0.60,2021-11-14 00:00:00
17,equipment_failure,0.30,2022-08-29 00:00:00
18,cyclone,0.50,2021-11-14 00:00:00
18,flood,0.40,2022-10-08 00:00:00
19,cyclone,0.70,2021-05-27 00:00:00
19,flood,0.50,2022-05-30 00:00:00
20,cyclone,0.60,2021-05-27 00:00:00
20,flood,0.40,2022-06-18 00:00:00
21,cyclone,0.50,2021-11-26 00:00:00
21,berth_blockage,0.20,2022-07-19 00:00:00
22,cyclone,0.70,2021-11-26 00:00:00
22,flood,0.50,2022-10-20 00:00:00
23,cyclone,0.50,2021-11-14 00:00:00
23,equipment_failure,0.30,2022-08-12 00:00:00
24,cyclone,0.40,2021-06-14 00:00:00
24,berth_blockage,0.30,2022-09-15 00:00:00
25,cyclone,0.60,2021-06-14 00:00:00
25,port_closure,0.50,2022-06-10 00:00:00
26,cyclone,0.55,2021-06-14 00:00:00
26,fog,0.20,2023-01-10 00:00:00
27,fog,0.20,2023-01-10 00:00:00
27,flood,0.30,2022-08-25 00:00:00
28,equipment_failure,0.25,2022-09-14 00:00:00
28,berth_blockage,0.30,2022-12-08 00:00:00
29,fog,0.20,2023-02-02 00:00:00
30,cyclone,0.45,2021-11-26 00:00:00
30,berth_blockage,0.20,2022-07-28 00:00:00
