id,name,capacity_teu,baseline_load_teu,lat,lon
1,JNPT Mumbai,600000,480000,18.9500,72.9400
2,Mundra,500000,400000,22.8394,69.7021
3,Chennai,300000,240000,13.0827,80.2707
4,Kolkata,150000,120000,22.5726,88.3639
5,Haldia,80000,64000,22.0619,88.1005
6,Visakhapatnam,100000,80000,17.6868,83.2185
7,Kochi,120000,96000,9.9312,76.2673
8,Kandla,80000,64000,23.0333,70.2167
9,Paradip,60000,45000,20.3167,86.6833
10,Ennore,80000,64000,13.2167,80.3167
11,New Mangalore,50000,38000,12.9141,74.8560
12,Mormugao,40000,30000,15.4167,73.7833
13,Tuticorin,80000,60000,8.7642,78.1348
14,Hazira,90000,72000,21.1167,72.6333
15,Pipavav,100000,80000,20.9167,71.5167
16,Dahej,40000,30000,21.7000,72.5500
17,Krishnapatnam,70000,52500,14.2500,80.1167
18,Gangavaram,50000,37500,17.6167,83.2333
19,Dhamra,30000,22500,20.7833,86.9000
20,Gopalpur,20000,15000,19.2667,84.8833
21,Karaikal,25000,18750,10.9167,79.8333
22,Nagapattinam,20000,15000,10.7667,79.8500
23,Kakinada,30000,22500,16.9667,82.2333
24,Bhavnagar,25000,18750,21.7667,72.1500
25,Okha,15000,10500,22.4667,69.0667
26,Porbandar,15000,10500,21.6333,69.6167
27,Beypore,20000,14000,11.1667,75.8000
28,Dighi,30000,22500,17.9667,73.0000
29,Redi,10000,7000,15.7667,73.6167
30,Cuddalore,15000,10500,11.7500,79.7667
