source_port,destination_port,traffic_volume,distance_nm
1,2,7500,380
2,1,8000,380
1,8,4500,420
8,1,5000,420
2,8,3500,50
8,2,4000,50
2,14,2800,200
14,2,3000,200
14,1,3500,200
1,14,3200,200
14,15,1800,150
15,14,2000,150
15,2,2200,250
2,15,2500,250
8,25,900,200
25,8,1000,200
25,26,380,80
26,25,400,80
26,2,500,200
2,26,550,200
14,16,1400,40
16,14,1500,40
15,24,750,100
24,15,800,100
1,28,900,100
28,1,1000,100
1,12,1800,350
12,1,2000,350
12,29,450,80
29,12,500,80
12,11,1400,150
11,12,1500,150
11,27,750,100
27,11,800,100
27,7,550,80
7,27,600,80
11,7,1800,250
7,11,2000,250
4,5,2800,60
5,4,3000,60
5,19,900,150
19,5,1000,150
5,9,2200,200
9,5,2500,200
19,9,750,80
9,19,800,80
9,20,550,200
20,9,600,200
20,6,750,250
6,20,800,250
6,18,2800,10
18,6,3000,10
6,23,1400,100
23,6,1500,100
23,18,1100,110
18,23,1200,110
23,17,800,250
17,23,900,250
17,10,1400,160
10,17,1500,160
10,3,3800,20
3,10,4000,20
3,17,1800,180
17,3,2000,180
3,21,900,250
21,3,1000,250
21,22,750,30
22,21,800,30
22,30,550,80
30,22,600,80
22,13,900,200
13,22,1000,200
3,13,2200,350
13,3,2500,350
1,3,5500,700
3,1,6000,700
1,7,2200,550
7,1,2500,550
7,3,2800,350
3,7,3000,350
7,13,1400,200
13,7,1500,200
1,4,2800,1500
4,1,3000,1500
2,3,1800,1200
3,2,2000,1200
6,9,1800,450
9,6,2000,450
6,3,2000,600
3,6,2200,600
2,25,800,180
25,2,750,180
